               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031644,            0.012348,           0.0065756,               0.954,             0.94894,             0.97699,             0.65669,            0.027649,             0.00672,           0.0036446,            0.006535,            0.006535,            0.006535
                  37,            0.031527,            0.012521,           0.0061882,             0.95261,             0.95597,             0.97398,              0.6431,            0.028211,           0.0068002,           0.0032247,            0.006436,            0.006436,            0.006436
                  38,            0.031664,            0.012466,           0.0062181,             0.90979,             0.96584,             0.97524,             0.65636,            0.027651,           0.0067338,           0.0028533,            0.006337,            0.006337,            0.006337
                  39,            0.031136,            0.012536,           0.0059041,             0.95431,             0.94877,             0.97277,             0.66556,            0.027955,           0.0066161,            0.002859,            0.006238,            0.006238,            0.006238
                  40,             0.03108,            0.012834,           0.0061676,             0.94001,             0.95964,             0.97492,             0.67297,            0.026497,           0.0067432,           0.0026837,            0.006139,            0.006139,            0.006139
                  41,            0.030668,            0.012185,           0.0061525,             0.91919,             0.96063,             0.97403,             0.65541,            0.027139,            0.006738,           0.0051603,             0.00604,             0.00604,             0.00604
                  42,            0.030235,            0.012063,           0.0055646,             0.94141,             0.94321,             0.97054,             0.64648,            0.027939,           0.0066266,           0.0040929,            0.005941,            0.005941,            0.005941
                  43,            0.030066,            0.012275,           0.0060776,             0.93558,             0.96895,             0.97863,             0.66552,            0.026643,           0.0065379,            0.004302,            0.005842,            0.005842,            0.005842
                  44,            0.030235,            0.012297,           0.0052619,              0.9378,             0.97326,             0.97948,             0.66055,            0.026505,            0.006514,           0.0041668,            0.005743,            0.005743,            0.005743
                  45,             0.03001,            0.012063,           0.0054748,             0.93362,             0.96859,             0.97676,             0.66749,            0.026758,           0.0064924,           0.0044736,            0.005644,            0.005644,            0.005644
                  46,            0.029563,            0.012074,           0.0053473,             0.93899,             0.95502,             0.97494,             0.67371,            0.026997,           0.0064924,           0.0023087,            0.005545,            0.005545,            0.005545
                  47,            0.029468,            0.011736,           0.0046753,             0.94138,             0.97155,             0.98013,             0.66377,            0.026909,           0.0064902,           0.0030171,            0.005446,            0.005446,            0.005446
                  48,            0.029626,            0.011701,           0.0053092,             0.95835,              0.9604,             0.97553,             0.68263,            0.026209,           0.0064632,           0.0034146,            0.005347,            0.005347,            0.005347
                  49,            0.029243,            0.011811,           0.0048433,             0.94396,             0.97227,             0.97879,             0.67031,            0.026965,           0.0062839,           0.0026712,            0.005248,            0.005248,            0.005248
                  50,            0.029093,            0.011876,           0.0050589,             0.94932,             0.96109,             0.98028,             0.67776,            0.025908,           0.0063237,           0.0030578,            0.005149,            0.005149,            0.005149
                  51,            0.028777,            0.011935,           0.0051225,             0.95462,             0.95685,             0.97853,             0.66959,             0.02625,           0.0062998,           0.0042994,             0.00505,             0.00505,             0.00505
                  52,            0.028659,            0.011777,           0.0048723,             0.95797,             0.96881,             0.98029,             0.68503,             0.02604,           0.0063186,           0.0036545,            0.004951,            0.004951,            0.004951
                  53,            0.028561,            0.011622,           0.0049707,             0.96521,             0.96648,             0.97941,             0.67943,            0.026611,           0.0063099,           0.0042356,            0.004852,            0.004852,            0.004852
                  54,             0.02875,            0.011685,           0.0044871,             0.95893,             0.96944,             0.98232,              0.6891,            0.026154,           0.0062222,           0.0036726,            0.004753,            0.004753,            0.004753
                  55,            0.028429,            0.011284,           0.0043331,               0.953,             0.95584,             0.97453,             0.67974,            0.025999,           0.0062351,           0.0052643,            0.004654,            0.004654,            0.004654
                  56,            0.028491,            0.011337,           0.0049532,             0.95649,             0.95118,             0.97481,              0.6817,            0.026258,           0.0063037,           0.0043432,            0.004555,            0.004555,            0.004555
                  57,            0.027701,            0.011559,           0.0045845,               0.966,             0.96807,             0.98311,             0.69067,            0.025998,           0.0061624,           0.0052797,            0.004456,            0.004456,            0.004456
                  58,             0.02801,            0.011612,           0.0049235,             0.94663,             0.97296,             0.97926,               0.687,            0.025887,           0.0061482,           0.0043143,            0.004357,            0.004357,            0.004357
                  59,            0.027597,            0.011409,            0.004383,             0.95708,             0.97294,              0.9782,             0.68476,            0.025101,            0.006109,           0.0022193,            0.004258,            0.004258,            0.004258
                  60,            0.027785,            0.011553,           0.0044988,             0.96137,             0.97016,             0.98093,             0.69569,            0.025719,           0.0060703,           0.0017271,            0.004159,            0.004159,            0.004159
                  61,            0.027742,            0.011301,           0.0044382,             0.95795,             0.97279,             0.98072,             0.69509,            0.025388,           0.0061287,           0.0020492,             0.00406,             0.00406,             0.00406
                  62,            0.027029,            0.011423,           0.0044116,             0.95241,             0.96385,             0.98201,             0.69479,             0.02585,           0.0061592,           0.0027199,            0.003961,            0.003961,            0.003961
                  63,            0.027373,            0.011109,           0.0041517,             0.95762,             0.97396,             0.98306,             0.69376,            0.025448,            0.006108,           0.0018214,            0.003862,            0.003862,            0.003862
                  64,            0.027175,            0.011184,            0.003835,             0.95773,             0.96806,              0.9782,             0.69466,            0.025411,           0.0061919,           0.0022401,            0.003763,            0.003763,            0.003763
                  65,            0.027037,             0.01115,           0.0039723,             0.96751,             0.96742,             0.98308,             0.70506,            0.024922,           0.0060468,           0.0037988,            0.003664,            0.003664,            0.003664
                  66,            0.026939,            0.011137,           0.0036079,             0.96677,             0.96886,             0.97884,             0.69466,            0.025498,           0.0060365,           0.0034279,            0.003565,            0.003565,            0.003565
                  67,            0.026769,             0.01107,           0.0037714,             0.96918,              0.9692,             0.97869,             0.69725,            0.024834,           0.0060272,           0.0026388,            0.003466,            0.003466,            0.003466
                  68,            0.026502,             0.01092,           0.0036499,             0.96593,             0.96757,             0.98054,             0.69698,             0.02564,           0.0060118,           0.0012834,            0.003367,            0.003367,            0.003367
                  69,            0.026569,            0.011037,           0.0036544,             0.96459,             0.96608,             0.97808,              0.6969,            0.025118,           0.0060326,           0.0018601,            0.003268,            0.003268,            0.003268
                  70,             0.02673,            0.011377,           0.0036519,             0.95361,             0.96527,              0.9774,             0.68961,             0.02583,           0.0061179,           0.0018503,            0.003169,            0.003169,            0.003169
                  71,            0.026261,            0.010884,           0.0037103,             0.96588,             0.96664,             0.98307,             0.70134,            0.025491,           0.0059958,           0.0021676,             0.00307,             0.00307,             0.00307
                  72,            0.026544,            0.011225,           0.0036736,             0.96419,             0.96602,             0.97917,             0.70126,            0.025153,           0.0059791,           0.0016803,            0.002971,            0.002971,            0.002971
                  73,            0.026137,            0.010811,           0.0036605,              0.9648,             0.96448,             0.97794,             0.69667,             0.02503,           0.0059692,           0.0028542,            0.002872,            0.002872,            0.002872
                  74,            0.025917,             0.01115,           0.0031548,             0.96578,             0.96611,             0.98019,              0.6943,            0.025213,           0.0059415,           0.0025286,            0.002773,            0.002773,            0.002773
                  75,            0.025808,            0.010718,           0.0034974,             0.96953,             0.95839,             0.97923,             0.70804,            0.025292,           0.0059659,           0.0033961,            0.002674,            0.002674,            0.002674
                  76,            0.025702,            0.010765,           0.0033736,             0.96755,             0.96822,             0.98002,             0.70466,            0.025084,           0.0060112,           0.0023931,            0.002575,            0.002575,            0.002575
                  77,            0.025812,            0.011015,           0.0034029,             0.96253,             0.95793,             0.97814,             0.69673,            0.024976,           0.0059979,           0.0021439,            0.002476,            0.002476,            0.002476
                  78,            0.025727,            0.010763,           0.0036388,             0.96091,             0.96209,             0.97707,             0.69736,            0.025017,           0.0061514,           0.0037108,            0.002377,            0.002377,            0.002377
                  79,            0.025347,            0.010597,           0.0029983,             0.97022,             0.96501,              0.9806,             0.70532,            0.025154,            0.005998,           0.0021408,            0.002278,            0.002278,            0.002278
                  80,            0.025155,            0.010642,           0.0031332,             0.96697,             0.96676,             0.97852,             0.69251,            0.025146,           0.0060119,            0.001034,            0.002179,            0.002179,            0.002179
                  81,            0.024956,            0.010582,           0.0031945,             0.96081,             0.96544,              0.9791,             0.70233,            0.024972,           0.0059397,           0.0020121,             0.00208,             0.00208,             0.00208
